,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference,,,
agm_200_180200_1.0_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,95,6,83,7271488159369,TRUE
agm_200_180200_1.0_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,99,7,83,7271488159369,TRUE
agm_200_180200_1.0_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,29,7,83,7271488159369,FALSE
agm_200_180200_1.0_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,30,9,83,7271488159369,FALSE
agm_200_180200_1.0_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,99,9,83,7271488159369,TRUE
agm_200_180200_1.0_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,95,8,83,7271488159369,TRUE
agm_200_180200_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,60,8,83,7271488159369,FALSE
agm_200_180200_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,33,1,83,7271488159369,FALSE
agm_200_180200_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,138,83,7271488159369,,TRUE
agm_200_180200_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,130,4,83,7271488159369,TRUE
agm_200_20200_0.9_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,4,1,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,65,9,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,64,7,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,4,3,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,0,199999999999996,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,34,8,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,62,5,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,42,4,83,7271488159369,FALSE
agm_200_20200_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,34,8,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,70,83,7271488159369,,FALSE
agm_200_20200_1.0_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,68,8,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,0,199999999999996,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,3,90000000000001,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,38,9,83,7271488159369,FALSE
agm_200_20200_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,66,6,83,7271488159369,FALSE
