"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"banking_200_60200_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;4,15000000000001;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;41,65;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;6,84999999999999;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;9,45;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;22,9;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;66,6;83,7271488159369;FALSE
"banking_200_60200_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;72,7;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;45,8;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;11;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,6;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;27,05;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;70,75;83,7271488159369;FALSE
"banking_200_60200_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;76,85;83,7271488159369;FALSE
"banking_50_15050_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;34,8;83,7271488159369;FALSE
"banking_50_15050_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;32,2;83,7271488159369;FALSE
"banking_50_15050_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;18,75;83,7271488159369;FALSE
"banking_50_15050_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;24,95;83,7271488159369;FALSE
"banking_50_15050_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;31,05;83,7271488159369;FALSE
"banking_50_15050_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;2,60000000000001;83,7271488159369;FALSE
"banking_50_15050_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;16,05;83,7271488159369;FALSE
"banking_50_15050_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;59,75;83,7271488159369;FALSE
"banking_50_15050_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;65,85;83,7271488159369;FALSE
"banking_50_45050_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,45;83,7271488159369;FALSE
"banking_50_45050_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;57,15;83,7271488159369;FALSE
"banking_50_45050_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;63,25;83,7271488159369;FALSE
"banking_50_45050_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;43,7;83,7271488159369;FALSE
"banking_50_45050_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;49,8;83,7271488159369;FALSE
"banking_50_5050_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;6,1;83,7271488159369;FALSE
